"NIH Print Exchange (n=217), Printables (n=340), Thingiverse (n=754)"	Design Name
https://www.printables.com/model/133488-parallel-jaw-pliers	Parallel Jaw Pliers by mdkendall
https://www.printables.com/model/134120-50ml-conical-tube-darkness-storage-canister-with-s	50mL conical tube darkness storage canister with screw-on lid by njmck
https://www.printables.com/model/135762-15ml-falcon-tube-rack	15ml Falcon Tube Rack by DSpecter
https://www.printables.com/model/136867-microscope-adapter-for-dslr	microscope adapter for dslr by majstor
https://www.printables.com/model/138529-50ml-falcon-1ml-cryovial-falcon-rack	50ml Falcon + 1ml Cryovial / Falcon Rack by DSpecter
https://www.printables.com/model/139396-tape-roll-adaptor	Tape Roll Adaptor by AtomicVirology
https://www.printables.com/model/139401-midiprep-rack-15-ml-conical-tube-adaptor	Midiprep rack 15 mL conical tube adaptor by AtomicVirology
https://www.printables.com/model/140012-support-for-microscope-slides	Support for Microscope Slides by AstroVest
https://www.printables.com/model/141844-sds-page-gel-doc-imager-box-for-smartphones	SDS-PAGE gel doc imager box for smartphones by njmck
https://www.printables.com/model/141845-thermo-fisher-magnetic-stirrer-stand	Thermo Fisher magnetic stirrer stand by njmck
https://www.printables.com/model/141851-225ml-conical-centrifuge-tube-rack-2x-4x-and-6x-mo	"225mL Conical Centrifuge Tube Rack (2x, 4x, and 6x models) by njmck"
https://www.printables.com/model/142550-aquarium-test-tube-holder	Aquarium Test Tube Holder by Ekoda Design
https://www.printables.com/model/144740-rack-for-washing-illumina-glass-back-plates	Rack for washing Illumina glass back plates by Robert
https://www.printables.com/model/144784-petri-dish-cap	Petri Dish Cap by wavexx
https://www.printables.com/model/144818-rudimentary-phone-microscope-ocular-adapter-31-34m	Rudimentary phone / microscope ocular adapter (31-34mm OD) by wavexx
https://www.printables.com/model/144823-deluxe-eppendorf-pipette-holder	Deluxe Eppendorf pipette holder by wavexx
https://www.printables.com/model/146862-falcon-tube-50-ml-holder-x6	Falcon Tube 50 mL Holder x6 by Patrick Straz
https://www.printables.com/model/147780-cranked-angled-precision-tweezers-3d-folding	Cranked / Angled Precision Tweezers - 3D Folding by Fozi
https://www.printables.com/model/148153-imperial-star-destroyer-15-ml-falcon-tube-holder	Imperial Star Destroyer 15 mL Falcon tube holder by AtomicVirology
https://www.printables.com/model/148392-bookshelf-homelab-micro-rack	Bookshelf Homelab Micro Rack by pfs
https://www.printables.com/model/149039-foldable-hook	Foldable hook by RostaP
https://www.printables.com/model/14935-48-slides-storage-box-with-lid	48 slides storage box with lid by Ignis Veneficus
https://www.printables.com/model/152453-12mm-test-tube-holderstorage-box-for-9-tubes-eduop	12mm Test tube holder/storage box for 9 tubes (Edu/OpenBio) by NWSpitfire
https://www.printables.com/model/155120-nano-vise-v2-by-prima	Nano Vise V2 by PRIma by PRIma
https://www.printables.com/model/158029-eppendorf-tube-rack	Eppendorf tube rack by Tomas Kral
https://www.printables.com/model/159132-test-tube-rackholder-3-sizes	Test Tube Rack/Holder 3 sizes by Machu
https://www.printables.com/model/159138-test-tube-rackholder-variant-2	Test Tube Rack/Holder variant 2 by Machu
https://www.printables.com/model/159355-quick-print-50-ml-centrifuge-tube-holder	Quick Print 50 mL Centrifuge Tube Holder by DrBenC
https://www.printables.com/model/159384-crystal-microscope-slide-transport-box	Crystal Microscope Slide Transport Box by DrBenC
https://www.printables.com/model/159910-optical-microscope	Optical Microscope by Everett Ramer
https://www.printables.com/model/160982-magnetic-bead-tube-rack	Magnetic Bead Tube Rack by SteveW91
https://www.printables.com/model/160999-dual-vortex-adaptor	Dual Vortex Adaptor by SteveW91
https://www.printables.com/model/161014-bead-dispenser-for-barocycler-tube-holder	Bead Dispenser for Barocycler Tube Holder by SteveW91
https://www.printables.com/model/161016-vortex-accessories	Vortex Accessories by SteveW91
https://www.printables.com/model/161025-5-ml-tube-holder-for-qiagen24-tissue-lyser	5 mL tube holder for QIAGEN24 tissue lyser by SteveW91
https://www.printables.com/model/161028-54-microbube-holder-for-barocycler-tubes	54 microbube holder for barocycler tubes by SteveW91
https://www.printables.com/model/161032-lysis-bead-dispenser-for-96-well-format	Lysis bead dispenser for 96 well format by SteveW91
https://www.printables.com/model/161033-adapter-sleeve-for-15-to-05-ml-eppendorf-tube	adapter sleeve for 1.5 to 0.5 ml eppendorf tube by SteveW91
https://www.printables.com/model/161042-barocycler-tube-tray	Barocycler tube tray by SteveW91
https://www.printables.com/model/161044-barocycler-cartridge-holder-for-qiagen-tissuelyser	Barocycler Cartridge Holder for QIAGEN TissueLyserII by SteveW91
https://www.printables.com/model/161054-eppendorf-tube-gasket-for-fastprep-24	Eppendorf Tube Gasket for FastPrep-24 by SteveW91
https://www.printables.com/model/161058-barocycler-tube-insert-for-15-ml-eppendorf-tube	Barocycler Tube Insert for 1.5 mL Eppendorf Tube by SteveW91
https://www.printables.com/model/161074-single-tube-1mm-bead-dispenser	Single Tube 1mm Bead Dispenser by SteveW91
https://www.printables.com/model/162460-well-plate-rulers	Well Plate Rulers by wavexx
